index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Chelsea,7,4,3,3,6,8,7,5,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tottenham Hotspur,13,7,7,5,3,2,2,3,5,5,5,5,5,5,5,5,5,5,4,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2
Manchester City,6,3,2,1,1,1,1,1,1,1,3,3,3,4,4,4,3,3,5,4,5,5,5,3,2,4,3,3,3,4,5,4,4,3,3,3,3,3
Liverpool,5,12,11,8,5,5,4,4,3,3,1,2,2,3,3,2,2,2,2,2,3,4,4,5,5,5,5,5,4,3,4,3,3,4,4,4,4,4
Arsenal,20,17,10,7,4,4,3,2,2,2,4,4,4,2,2,3,4,4,3,5,4,2,3,4,4,3,4,4,5,5,3,5,5,5,5,5,5,5
Manchester United,4,2,1,4,7,6,6,7,7,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Everton,12,6,4,2,2,3,5,6,6,6,7,7,7,8,9,8,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Southampton,11,16,15,18,14,10,10,8,8,9,10,11,10,12,10,9,7,8,9,10,13,11,12,13,11,13,10,10,10,10,9,9,9,9,9,9,8,8
AFC Bournemouth,19,20,20,16,17,15,13,11,10,10,13,10,12,10,12,10,10,12,10,9,11,12,14,14,14,14,14,14,11,11,13,15,16,13,10,11,10,9
West Bromwich Albion,3,11,9,15,12,9,9,12,13,16,11,9,9,7,8,7,8,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,10
West Ham United,18,10,14,17,18,18,18,15,15,17,17,17,16,17,17,15,13,11,12,13,12,10,11,9,10,9,11,11,12,13,15,14,13,14,15,12,12,11
Leicester City,17,15,8,14,11,14,12,13,12,11,14,14,14,16,14,14,15,16,15,15,15,15,16,16,17,15,15,15,15,14,11,12,12,15,12,10,11,12
Stoke City,10,14,19,20,20,19,19,18,16,12,12,13,11,9,11,12,11,13,14,11,9,9,9,11,9,10,9,9,9,9,12,13,11,11,11,13,14,13
Crystal Palace,16,19,18,13,10,7,8,9,11,13,16,16,17,14,15,16,17,17,17,17,17,18,18,19,19,18,17,18,16,16,16,16,15,12,16,16,13,14
Swansea City,2,9,13,12,16,17,17,19,19,19,19,20,19,20,18,18,19,19,20,19,20,17,17,17,15,16,16,16,17,17,18,18,18,18,18,17,17,15
Burnley,15,8,12,11,15,13,14,14,14,14,9,12,13,15,13,13,16,14,11,12,10,13,10,12,12,11,12,12,13,15,14,11,14,16,14,14,15,16
Watford,9,13,17,10,9,12,11,10,9,7,8,8,8,11,7,11,12,10,13,14,14,14,13,10,13,12,13,13,14,12,10,10,10,10,13,15,16,17
Hull City,1,1,5,6,8,11,15,16,18,18,18,18,18,19,19,19,20,20,19,20,18,19,19,18,18,19,19,19,19,18,17,17,17,17,17,18,18,18
Middlesbrough,8,5,6,9,13,16,16,17,17,15,15,15,15,13,16,17,14,15,16,16,16,16,15,15,16,17,18,17,18,19,19,19,19,19,19,19,19,19
Sunderland,14,18,16,19,19,20,20,20,20,20,20,19,20,18,20,20,18,18,18,18,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
